material,type,name,img,label,i1,i2,i3,i4,i5,i6,,
msIndustryBest,Metal Stud,Industry Best,./img/Partitions/Axons/MetalStuds_Axon_MS10_BEST_16_Emb_GlassWool_Ecosmart.png,MS - Industry Best,13,3,1,1,1,2,,
ms16MinWoolMDF,Metal Stud,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/MetalStuds_Axon_MS11_16_MinWool_MDF.png,MS - 16 OC w/ Mineral Wool & MDF,27,12,3,4,4,4,,
msReimagined,Metal Stud,Reimagined,./img/Partitions/Axons/MetalStuds_Axon_MS12_Reimagined_24_Emb_Cellulose_MDF.png,MS - Reimagined,30,13,12,5,4,2,,
ws24MinWoolMFB,Wood Stud,24 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS01_24_MinWool_MFB.png,WS - 24 OC w/ Mineral Wool & MFB,15,5,3,1,1,1,,
ws16MinWoolMFB,Wood Stud,16 OC w/ Mineral Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS02_16_MinWool_MFB.png,WS - 16 OC w/ Mineral Wool & MFB,15,6,3,1,1,1,,
ws16MinWoolEcosmart,Wood Stud,16 OC w/ Mineral Wool & Ecosmart,./img/Partitions/Axons/WoodStuds_Axon_WS03_16_MinWool_Ecosmart.png,WS - 16 OC w/ Mineral Wool & Ecosmart,14,3,1,1,1,1,,
ws16GlassWoolMFB,Wood Stud,16 OC w/ Glass Wool & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS04_16_GlassWool_MFB.png,WS - 16 OC w/ Glass Wool & MFB,11,4,2,1,1,0,,
ws16MFB,Wood Stud,16 OC & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS05_16_NoIns_MFB.png,WS - 16 OC & MFB,10,4,2,1,0,0,,
ws16CelluloseMFB,Wood Stud,16 OC w/ Cellulose & MFB,./img/Partitions/Axons/WoodStuds_Axon_WS06_16_Cellulose_MFB.png,WS - 16 OC w/ Cellulose & MFB,21,8,11,2,1,0,,
wsIndustryBest,Wood Stud,Industry Best,./img/Partitions/Axons/WoodStuds_Axon_WS07_BEST_16_GlassWool_Ecosmart.png,WS - Industry Best,10,2,1,1,0,0,,
ws16MinWoolMDF,Wood Stud,16 OC w/ Mineral Wool & MDF,./img/Partitions/Axons/WoodStuds_Axon_WS09_16_MinWool_MDF.png,WS - 16 OC w/ Mineral Wool & MDF,22,11,3,4,4,2,,
wsReimagined,Wood Stud,Reimagined,./img/Partitions/Axons/WoodStuds_Axon_WS10_Reimagined_16_Cellulose_MDF.png,WS - Reimagined,32,15,12,6,5,1,,
